  Lines          Copies       Function name
     182 (0.1%)     1 (0.0%)  <chumsky::primitive::OneOf<I,C,E> as chumsky::Parser<I,I>>::parse_inner
     180 (0.1%)    12 (0.2%)  <chumsky::combinator::Foldl<A,F,O,U> as chumsky::Parser<I,O>>::parse_inner
     180 (0.1%)    10 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
     180 (0.1%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::drop_elements
     179 (0.1%)     4 (0.1%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
     178 (0.1%)     1 (0.0%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
     176 (0.1%)    16 (0.3%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     172 (0.1%)     3 (0.0%)  alloc::vec::Vec<T,A>::extend_desugared
     170 (0.1%)    40 (0.6%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     170 (0.1%)     2 (0.0%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::size_hint
     168 (0.1%)     9 (0.1%)  chumsky::Parser::boxed
     168 (0.1%)     4 (0.1%)  <chumsky::primitive::FilterMap<F,E> as chumsky::Parser<I,O>>::parse_inner::{{closure}}
     168 (0.1%)     2 (0.0%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
     165 (0.1%)    25 (0.4%)  core::iter::adapters::map::map_fold
     165 (0.1%)     3 (0.0%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     163 (0.1%)    15 (0.2%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     161 (0.1%)     6 (0.1%)  <chumsky::combinator::Repeated<A> as core::clone::Clone>::clone
     161 (0.1%)     1 (0.0%)  <lang_frontend::tokenizer::Token as core::cmp::PartialEq>::eq
     161 (0.1%)     1 (0.0%)  <lang_frontend::tokenizer::Token as core::cmp::PartialEq>::ne
     158 (0.1%)    26 (0.4%)  core::iter::traits::iterator::Iterator::map
     157 (0.1%)     4 (0.1%)  lang_frontend::tokenizer::tokenizer::{{closure}}
     156 (0.1%)    24 (0.4%)  core::iter::traits::iterator::Iterator::collect
     156 (0.1%)     2 (0.0%)  chumsky::recursive::recursive
     155 (0.1%)     5 (0.1%)  core::result::Result<T,E>::err
     155 (0.1%)     1 (0.0%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
     154 (0.1%)    11 (0.2%)  alloc::vec::into_iter::IntoIter<T,A>::as_raw_mut_slice
     153 (0.1%)    17 (0.3%)  alloc::vec::Vec<T,A>::as_mut_ptr
     152 (0.1%)     4 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     150 (0.1%)    25 (0.4%)  core::ptr::mut_ptr::<impl *mut T>::offset
     150 (0.1%)    15 (0.2%)  <alloc::vec::Vec<T> as core::iter::traits::collect::FromIterator<T>>::from_iter
     150 (0.1%)     5 (0.1%)  core::option::Option<T>::unwrap_or_else
     148 (0.1%)     5 (0.1%)  core::ptr::swap_nonoverlapping_one
     148 (0.1%)     2 (0.0%)  hashbrown::raw::RawTable<T,A>::into_allocation
     147 (0.1%)     6 (0.1%)  core::result::Result<T,E>::unwrap
     141 (0.1%)     7 (0.1%)  chumsky::Parser::ignore_then
     140 (0.1%)    14 (0.2%)  alloc::vec::Vec<T>::new
     138 (0.1%)     6 (0.1%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::next
     135 (0.1%)     3 (0.0%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
     134 (0.1%)     4 (0.1%)  core::result::Result<T,E>::unwrap_or_else
     132 (0.1%)    44 (0.7%)  <chumsky::combinator::Map<A,F,O> as chumsky::Parser<I,U>>::parse_inner_silent
     130 (0.1%)     2 (0.0%)  std::thread::Builder::spawn_unchecked::{{closure}}
     126 (0.1%)     2 (0.0%)  <chumsky::recovery::SkipThenRetryUntil<I,_> as chumsky::recovery::Strategy<I,O,E>>::recover::{{closure}}
     123 (0.1%)     3 (0.0%)  chumsky::recovery::nested_delimiters
     123 (0.1%)     1 (0.0%)  <lang_frontend::inferer::Type as core::cmp::PartialEq>::eq
     123 (0.1%)     1 (0.0%)  <lang_frontend::inferer::Type as core::cmp::PartialEq>::ne
     123 (0.1%)     1 (0.0%)  <lang_frontend::tokenizer::Token as core::fmt::Debug>::fmt
     122 (0.1%)    25 (0.4%)  core::ptr::non_null::NonNull<T>::new_unchecked
     120 (0.1%)    10 (0.2%)  alloc::vec::Vec<T,A>::with_capacity_in
     120 (0.1%)     1 (0.0%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
     117 (0.1%)    40 (0.6%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     117 (0.1%)     3 (0.0%)  alloc::vec::into_iter::IntoIter<T,A>::forget_allocation_drop_remaining
     114 (0.1%)     6 (0.1%)  core::ops::function::impls::<impl core::ops::function::FnMut<A> for &F>::call_mut
     114 (0.1%)     3 (0.0%)  alloc::sync::Weak<T>::inner
     112 (0.1%)     2 (0.0%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     112 (0.1%)     1 (0.0%)  lang_frontend::inferer::Inferer::unify_variable
     110 (0.1%)    24 (0.4%)  core::iter::traits::iterator::Iterator::for_each::call
     110 (0.1%)    10 (0.2%)  alloc::raw_vec::RawVec<T,A>::with_capacity_in
     110 (0.1%)     7 (0.1%)  core::option::Option<T>::unwrap
     110 (0.1%)     2 (0.0%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
