  Lines          Copies       Function name
      71 (0.0%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::find_insert_slot
      70 (0.0%)    32 (0.5%)  core::ptr::non_null::NonNull<T>::as_ptr
      68 (0.0%)     6 (0.1%)  core::iter::adapters::take::Take<I>::new
      68 (0.0%)     4 (0.1%)  alloc::vec::Vec<T,A>::append_elements
      68 (0.0%)     2 (0.0%)  <hashbrown::set::IntoIter<K,A> as core::iter::traits::iterator::Iterator>::next
      68 (0.0%)     1 (0.0%)  <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
      67 (0.0%)    38 (0.6%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
      66 (0.0%)    11 (0.2%)  alloc::raw_vec::RawVec<T,A>::needs_to_grow
      66 (0.0%)    11 (0.2%)  alloc::raw_vec::RawVec<T,A>::reserve::do_reserve_and_handle
      66 (0.0%)    11 (0.2%)  alloc::raw_vec::RawVec<T,A>::reserve_for_push
      66 (0.0%)    11 (0.2%)  alloc::vec::Vec<T,A>::reserve
      66 (0.0%)     6 (0.1%)  core::alloc::layout::Layout::new
      66 (0.0%)     3 (0.0%)  <core::option::Option<T> as core::clone::Clone>::clone
      65 (0.0%)     5 (0.1%)  core::mem::size_of_val
      65 (0.0%)     1 (0.0%)  <core::ops::range::Range<Idx> as core::fmt::Debug>::fmt
      64 (0.0%)    12 (0.2%)  alloc::rc::Rc<T>::from_inner
      64 (0.0%)     4 (0.1%)  hashbrown::map::HashMap<K,V,S>::with_hasher
      64 (0.0%)     2 (0.0%)  chumsky::recursive::Recursive<I,O,E>::define
      63 (0.0%)    21 (0.3%)  <chumsky::combinator::Or<A,B> as chumsky::Parser<I,O>>::parse_inner_silent
      63 (0.0%)    21 (0.3%)  core::ptr::mut_ptr::<impl *mut T>::add
      63 (0.0%)    15 (0.2%)  <&T as core::fmt::Debug>::fmt
      63 (0.0%)     2 (0.0%)  <alloc::string::String as core::iter::traits::collect::Extend<char>>::extend
      62 (0.0%)     2 (0.0%)  core::option::Option<T>::unwrap_unchecked
      61 (0.0%)     4 (0.1%)  <alloc::rc::Rc<T> as core::ops::deref::Deref>::deref
      61 (0.0%)     1 (0.0%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::advance_by
      60 (0.0%)    20 (0.3%)  <chumsky::combinator::Map<A,F,O> as chumsky::Parser<I,U>>::parse_inner_verbose
      60 (0.0%)    10 (0.2%)  core::ptr::unique::Unique<T>::dangling
      60 (0.0%)     8 (0.1%)  chumsky::stream::Stream<I,S>::span_since::{{closure}}
      60 (0.0%)     6 (0.1%)  chumsky::Parser::foldl
      60 (0.0%)     5 (0.1%)  alloc::vec::Vec<T,A>::from_raw_parts_in
      60 (0.0%)     3 (0.0%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
      59 (0.0%)     4 (0.1%)  core::mem::align_of_val
      58 (0.0%)     8 (0.1%)  chumsky::Parser::then_ignore::{{closure}}
      58 (0.0%)     2 (0.0%)  <chumsky::recursive::Recursive<I,O,E> as chumsky::Parser<I,O>>::parse_inner
      58 (0.0%)     2 (0.0%)  <hashbrown::raw::RawIntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
      58 (0.0%)     2 (0.0%)  alloc::boxed::Box<T,A>::new_uninit_in
      58 (0.0%)     2 (0.0%)  core::iter::adapters::chain::Chain<A,B>::new
      57 (0.0%)     8 (0.1%)  <hashbrown::set::HashSet<T,S,A> as core::iter::traits::collect::Extend<T>>::extend::{{closure}}
      57 (0.0%)     3 (0.0%)  core::ptr::drop_in_place<chumsky::recovery::NestedDelimiters<lang_frontend::tokenizer::Token,lang_frontend::parser::expresion_parser::{{closure}}::{{closure}},2_usize>>
      56 (0.0%)    11 (0.2%)  core::mem::forget
      56 (0.0%)     8 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
      56 (0.0%)     8 (0.1%)  <std::collections::hash::set::HashSet<T,S> as core::iter::traits::collect::Extend<T>>::extend
      56 (0.0%)     2 (0.0%)  <hashbrown::raw::RawIntoIter<T,A> as core::ops::drop::Drop>::drop
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[(&str,(alloc::vec::Vec<char>,char))]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[(&str,(lang_frontend::ast::Ast,core::ops::range::Range<usize>,core::option::Option<lang_frontend::inferer::Type>))]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[(core::ops::range::Range<usize>,alloc::string::String)]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[(lang_frontend::ast::Ast,core::ops::range::Range<usize>,core::option::Option<lang_frontend::inferer::Type>)]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[(lang_frontend::tokenizer::Token,core::ops::range::Range<usize>)]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[(lang_frontend::tokenizer::Token,lang_frontend::tokenizer::Token); 2]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[chumsky::error::Located<char,chumsky::error::Simple<char>>]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[chumsky::error::Located<lang_frontend::tokenizer::Token,chumsky::error::Simple<lang_frontend::tokenizer::Token>>]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[chumsky::error::Simple<alloc::string::String>]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[chumsky::error::Simple<char>]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[chumsky::error::Simple<lang_frontend::tokenizer::Token>]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[core::option::Option<lang_frontend::inferer::Type>]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[core::option::Option<lang_frontend::tokenizer::Token>]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[lang_frontend::inferer::Constraint]>
      56 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<[lang_frontend::inferer::Type]>
      56 (0.0%)     1 (0.0%)  core::ptr::swap_nonoverlapping_bytes
      55 (0.0%)    11 (0.2%)  <core::ptr::non_null::NonNull<T> as core::convert::From<&mut T>>::from
      55 (0.0%)    11 (0.2%)  core::intrinsics::write_bytes
      55 (0.0%)     8 (0.1%)  core::clone::Clone::clone
      55 (0.0%)     1 (0.0%)  core::cmp::min_by
      55 (0.0%)     1 (0.0%)  std::panicking::try
      54 (0.0%)     7 (0.1%)  chumsky::Parser::ignore_then::{{closure}}
      54 (0.0%)     3 (0.0%)  core::option::Option<T>::as_mut
      54 (0.0%)     2 (0.0%)  <alloc::boxed::Box<T,A> as core::clone::Clone>::clone
      53 (0.0%)     1 (0.0%)  alloc::sync::Arc<T>::new
      53 (0.0%)     1 (0.0%)  hashbrown::raw::capacity_to_buckets
      52 (0.0%)    26 (0.4%)  core::ptr::mut_ptr::<impl *mut T>::cast
      52 (0.0%)    13 (0.2%)  <&mut I as core::iter::traits::exact_size::ExactSizeIterator>::len
      52 (0.0%)     4 (0.1%)  core::mem::maybe_uninit::MaybeUninit<T>::write
      51 (0.0%)    17 (0.3%)  alloc::vec::Vec<T,A>::len
      51 (0.0%)     1 (0.0%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
      51 (0.0%)     1 (0.0%)  core::option::Option<T>::get_or_insert
      50 (0.0%)     5 (0.1%)  <hashbrown::scopeguard::ScopeGuard<T,F> as core::ops::drop::Drop>::drop
      50 (0.0%)     5 (0.1%)  chumsky::Parser::collect::{{closure}}
      50 (0.0%)     5 (0.1%)  chumsky::Parser::map_with_span
      50 (0.0%)     2 (0.0%)  core::iter::traits::iterator::Iterator::chain
      49 (0.0%)     7 (0.1%)  core::ptr::non_null::NonNull<T>::as_ref
      49 (0.0%)     1 (0.0%)  core::cell::RefCell<T>::try_borrow
      49 (0.0%)     1 (0.0%)  core::cell::RefCell<T>::try_borrow_mut
      48 (0.0%)    12 (0.2%)  alloc::vec::Vec<T,A>::allocator
      48 (0.0%)     4 (0.1%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::from_output
      48 (0.0%)     4 (0.1%)  core::mem::maybe_uninit::MaybeUninit<T>::new
      48 (0.0%)     3 (0.0%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
      48 (0.0%)     2 (0.0%)  <hashbrown::raw::RawTable<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
      48 (0.0%)     2 (0.0%)  core::option::Option<&T>::cloned
      47 (0.0%)     1 (0.0%)  alloc::rc::Weak<T>::upgrade
      47 (0.0%)     1 (0.0%)  std::thread::local::LocalKey<T>::try_with
      46 (0.0%)     3 (0.0%)  core::cell::Cell<T>::replace
      46 (0.0%)     1 (0.0%)  core::slice::iter::Iter<T>::make_slice
      45 (0.0%)     3 (0.0%)  <chumsky::combinator::To<A,O,U> as chumsky::Parser<I,U>>::parse_inner
      45 (0.0%)     3 (0.0%)  <chumsky::combinator::To<A,O,U> as chumsky::Parser<I,U>>::parse_inner::{{closure}}
      45 (0.0%)     3 (0.0%)  core::iter::sources::once::once
      44 (0.0%)     4 (0.1%)  <alloc::vec::in_place_drop::InPlaceDrop<T> as core::ops::drop::Drop>::drop
      44 (0.0%)     4 (0.1%)  <hashbrown::raw::RawTable<T,A> as core::ops::drop::Drop>::drop
      44 (0.0%)     4 (0.1%)  alloc::boxed::Box<T,A>::from_raw_in
      44 (0.0%)     4 (0.1%)  chumsky::Parser::chain
      44 (0.0%)     4 (0.1%)  hashbrown::map::make_hash
      44 (0.0%)     4 (0.1%)  hashbrown::map::make_insert_hash
      44 (0.0%)     2 (0.0%)  <[A] as core::slice::cmp::SlicePartialEq<B>>::equal
      44 (0.0%)     2 (0.0%)  <hashbrown::raw::RawIter<T> as core::iter::traits::iterator::Iterator>::size_hint
      44 (0.0%)     2 (0.0%)  alloc::rc::RcInnerPtr::inc_weak
      43 (0.0%)     1 (0.0%)  <alloc::rc::Weak<T> as core::ops::drop::Drop>::drop
      43 (0.0%)     1 (0.0%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::finish
      43 (0.0%)     1 (0.0%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
      43 (0.0%)     1 (0.0%)  <lang_frontend::inferer::Constraint as core::clone::Clone>::clone
      43 (0.0%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::free_buckets
      42 (0.0%)    23 (0.4%)  <core::mem::manually_drop::ManuallyDrop<T> as core::ops::deref::Deref>::deref
      42 (0.0%)    14 (0.2%)  <chumsky::combinator::Or<A,B> as chumsky::Parser<I,O>>::parse_inner_verbose
      42 (0.0%)     7 (0.1%)  core::mem::take
      42 (0.0%)     6 (0.1%)  <alloc::rc::Rc<T> as chumsky::Parser<I,O>>::parse_inner
      42 (0.0%)     6 (0.1%)  core::iter::traits::iterator::Iterator::take
      42 (0.0%)     6 (0.1%)  core::slice::<impl [T]>::iter
      42 (0.0%)     3 (0.0%)  <alloc::rc::Rc<T> as core::clone::Clone>::clone
      42 (0.0%)     1 (0.0%)  <chumsky::recursive::Recursive<I,O,E> as core::clone::Clone>::clone
      41 (0.0%)     2 (0.0%)  <alloc::string::String as core::iter::traits::collect::FromIterator<char>>::from_iter
      41 (0.0%)     1 (0.0%)  core::option::Option<T>::ok_or_else
      40 (0.0%)     8 (0.1%)  core::intrinsics::copy_nonoverlapping
      40 (0.0%)     5 (0.1%)  alloc::rc::RcInnerPtr::dec_weak
      40 (0.0%)     5 (0.1%)  core::ptr::swap_nonoverlapping
      40 (0.0%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::data_end
      40 (0.0%)     1 (0.0%)  core::slice::iter::IterMut<T>::post_inc_start
      39 (0.0%)    13 (0.2%)  <&T as chumsky::Parser<I,O>>::parse_inner_silent
      39 (0.0%)    13 (0.2%)  <chumsky::combinator::Repeated<A> as chumsky::Parser<I,alloc::vec::Vec<O>>>::parse_inner_silent
      39 (0.0%)     4 (0.1%)  <chumsky::combinator::OrNot<A> as chumsky::Parser<I,core::option::Option<O>>>::parse_inner::{{closure}}
      39 (0.0%)     3 (0.0%)  core::slice::<impl [T]>::last
      39 (0.0%)     1 (0.0%)  <core::option::Option<T> as core::fmt::Debug>::fmt
      39 (0.0%)     1 (0.0%)  <hashbrown::raw::bitmask::BitMaskIter as core::iter::traits::iterator::Iterator>::next
      38 (0.0%)     6 (0.1%)  core::ptr::mut_ptr::<impl *mut T>::write
      38 (0.0%)     5 (0.1%)  hashbrown::scopeguard::guard
      38 (0.0%)     2 (0.0%)  chumsky::text::ident::{{closure}}
      38 (0.0%)     1 (0.0%)  core::fmt::Arguments::new_v1
      37 (0.0%)     1 (0.0%)  alloc::rc::Weak<T>::inner
      36 (0.0%)    12 (0.2%)  core::ptr::mut_ptr::<impl *mut T>::write_bytes
      36 (0.0%)    10 (0.2%)  <T as core::convert::From<T>>::from
      36 (0.0%)     6 (0.1%)  <&mut I as core::iter::traits::iterator::Iterator>::next
      36 (0.0%)     6 (0.1%)  core::ptr::const_ptr::<impl *const T>::is_null
      36 (0.0%)     4 (0.1%)  <core::ptr::unique::Unique<T> as core::convert::From<&mut T>>::from
      36 (0.0%)     4 (0.1%)  hashbrown::raw::RawIterHash<T,A>::new
      36 (0.0%)     4 (0.1%)  hashbrown::raw::RawTableInner<A>::data_end
      36 (0.0%)     1 (0.0%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
      36 (0.0%)     1 (0.0%)  <lang_frontend::inferer::Inferer as core::default::Default>::default
      36 (0.0%)     1 (0.0%)  ahash::random_state::RandomState::new
      35 (0.0%)     5 (0.1%)  chumsky::Parser::collect
      35 (0.0%)     2 (0.0%)  chumsky::Parser::parse_recovery
      35 (0.0%)     2 (0.0%)  core::option::Option<T>::expect
      34 (0.0%)    34 (0.6%)  core::mem::size_of
      34 (0.0%)     2 (0.0%)  <[T] as core::fmt::Debug>::fmt
      34 (0.0%)     2 (0.0%)  <hashbrown::map::HashMap<K,V,S,A> as core::iter::traits::collect::IntoIterator>::into_iter
      34 (0.0%)     2 (0.0%)  core::iter::traits::iterator::Iterator::zip
      34 (0.0%)     1 (0.0%)  <char as core::str::pattern::Pattern>::into_searcher
      34 (0.0%)     1 (0.0%)  chumsky::Parser::padded_by
      33 (0.0%)     3 (0.0%)  <chumsky::primitive::Just<I,C,E> as core::clone::Clone>::clone
      33 (0.0%)     3 (0.0%)  alloc::boxed::Box<T>::new
      33 (0.0%)     3 (0.0%)  alloc::sync::Arc<T>::drop_slow
      33 (0.0%)     3 (0.0%)  chumsky::text::int::{{closure}}
      33 (0.0%)     3 (0.0%)  lang_frontend::inferer::Inferer::generate_constraints::{{closure}}
      33 (0.0%)     1 (0.0%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get
      33 (0.0%)     1 (0.0%)  <lang_frontend::inferer::Constraint as core::fmt::Debug>::fmt
      33 (0.0%)     1 (0.0%)  alloc::slice::hack::into_vec
      33 (0.0%)     1 (0.0%)  core::core_arch::simd::i8x16::new
      32 (0.0%)     4 (0.1%)  alloc::rc::RcInnerPtr::dec_strong
      32 (0.0%)     4 (0.1%)  alloc::vec::in_place_drop::InPlaceDrop<T>::len
      32 (0.0%)     4 (0.1%)  core::cmp::impls::<impl core::cmp::PartialEq<&B> for &A>::eq
      32 (0.0%)     4 (0.1%)  core::iter::adapters::enumerate::Enumerate<I>::new
      32 (0.0%)     4 (0.1%)  hashbrown::raw::RawTable<T,A>::free_buckets
      32 (0.0%)     4 (0.1%)  hashbrown::raw::RawTable<T>::new
      32 (0.0%)     3 (0.0%)  core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once
      32 (0.0%)     2 (0.0%)  <chumsky::BoxedParser<I,O,E> as core::clone::Clone>::clone
      32 (0.0%)     2 (0.0%)  core::ops::function::impls::<impl core::ops::function::FnMut<A> for &mut F>::call_mut
      32 (0.0%)     1 (0.0%)  alloc::vec::Vec<T,A>::pop
      32 (0.0%)     1 (0.0%)  chumsky::Parser::separated_by
      32 (0.0%)     1 (0.0%)  core::cell::Ref<T>::map
      32 (0.0%)     1 (0.0%)  core::option::Option<T>::unwrap_or
      32 (0.0%)     1 (0.0%)  hashbrown::raw::RawIterHashInner<A>::new
      31 (0.0%)     2 (0.0%)  lang_frontend::parse::{{closure}}::{{closure}}
      31 (0.0%)     1 (0.0%)  <[u8] as ahash::convert::ReadFromSlice>::read_u16
      31 (0.0%)     1 (0.0%)  <[u8] as ahash::convert::ReadFromSlice>::read_u32
      31 (0.0%)     1 (0.0%)  <[u8] as ahash::convert::ReadFromSlice>::read_u64
      31 (0.0%)     1 (0.0%)  <core::iter::adapters::fuse::Fuse<I> as core::iter::traits::iterator::Iterator>::size_hint
      31 (0.0%)     1 (0.0%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::any
      31 (0.0%)     1 (0.0%)  alloc::raw_vec::handle_reserve
      30 (0.0%)    10 (0.2%)  <&T as chumsky::Parser<I,O>>::parse_inner_verbose
      30 (0.0%)     4 (0.1%)  <chumsky::combinator::SeparatedBy<A,B,U> as chumsky::Parser<I,alloc::vec::Vec<O>>>::parse_inner::{{closure}}
      30 (0.0%)     4 (0.1%)  hashbrown::map::equivalent_key::{{closure}}
      30 (0.0%)     1 (0.0%)  chumsky::text::int
      30 (0.0%)     1 (0.0%)  core::num::<impl usize>::checked_add
      30 (0.0%)     1 (0.0%)  core::num::<impl usize>::checked_mul
      30 (0.0%)     1 (0.0%)  core::num::<impl usize>::overflowing_add
      30 (0.0%)     1 (0.0%)  core::num::<impl usize>::overflowing_mul
      30 (0.0%)     1 (0.0%)  core::option::Option<T>::ok_or
      30 (0.0%)     1 (0.0%)  core::sync::atomic::atomic_add
      30 (0.0%)     1 (0.0%)  core::sync::atomic::atomic_sub
      29 (0.0%)     4 (0.1%)  core::cell::UnsafeCell<T>::new
      29 (0.0%)     1 (0.0%)  core::hash::sip::Hasher<S>::reset
      29 (0.0%)     1 (0.0%)  core::str::iter::MatchIndicesInternal<P>::next::{{closure}}
      29 (0.0%)     1 (0.0%)  std::collections::hash::map::RandomState::new::{{closure}}
      28 (0.0%)     7 (0.1%)  <core::iter::adapters::map::Map<I,F> as core::iter::adapters::SourceIter>::as_inner
      28 (0.0%)     4 (0.1%)  <&mut I as core::iter::traits::iterator::Iterator>::size_hint
      28 (0.0%)     4 (0.1%)  <<T as alloc::slice::hack::ConvertVec>::to_vec::DropGuard<T,A> as core::ops::drop::Drop>::drop
      28 (0.0%)     4 (0.1%)  hashbrown::raw::Bucket<T>::copy_from_nonoverlapping
      28 (0.0%)     2 (0.0%)  <&mut I as core::iter::traits::iterator::Iterator>::advance_by
      28 (0.0%)     2 (0.0%)  chumsky::Parser::labelled
      28 (0.0%)     2 (0.0%)  chumsky::Parser::to
      28 (0.0%)     1 (0.0%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
      28 (0.0%)     1 (0.0%)  <alloc::rc::Weak<T> as core::clone::Clone>::clone
      28 (0.0%)     1 (0.0%)  alloc::string::String::push
      28 (0.0%)     1 (0.0%)  chumsky::stream::Stream<I,S,Iter>::from_iter
      28 (0.0%)     1 (0.0%)  core::slice::memchr::memchr
      27 (0.0%)     9 (0.1%)  <alloc::vec::Vec<T> as core::default::Default>::default
      27 (0.0%)     9 (0.1%)  core::ptr::const_ptr::<impl *const T>::add
      27 (0.0%)     3 (0.0%)  alloc::vec::Vec<T,A>::append
      27 (0.0%)     2 (0.0%)  core::option::Option<T>::is_some
      27 (0.0%)     1 (0.0%)  <[u8] as ahash::convert::ReadFromSlice>::read_last_u32::as_array
      27 (0.0%)     1 (0.0%)  <[u8] as ahash::convert::ReadFromSlice>::read_last_u64::as_array
      27 (0.0%)     1 (0.0%)  <[u8] as ahash::convert::ReadFromSlice>::read_u16::as_array
      27 (0.0%)     1 (0.0%)  <[u8] as ahash::convert::ReadFromSlice>::read_u32::as_array
      27 (0.0%)     1 (0.0%)  <[u8] as ahash::convert::ReadFromSlice>::read_u64::as_array
      27 (0.0%)     1 (0.0%)  chumsky::recursive::Recursive<I,O,E>::declare
      27 (0.0%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::is_in_same_group
      27 (0.0%)     1 (0.0%)  hashbrown::raw::sse2::Group::convert_special_to_empty_and_full_to_deleted
      26 (0.0%)     7 (0.1%)  <core::option::IntoIter<A> as core::iter::traits::iterator::Iterator>::next
      26 (0.0%)     7 (0.1%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::next
      26 (0.0%)     3 (0.0%)  chumsky::primitive::just
      26 (0.0%)     2 (0.0%)  <chumsky::recovery::SkipThenRetryUntil<I,_> as chumsky::recovery::Strategy<I,O,E>>::recover::{{closure}}::{{closure}}
      26 (0.0%)     2 (0.0%)  <hashbrown::set::HashSet<T,S,A> as core::iter::traits::collect::IntoIterator>::into_iter
      26 (0.0%)     2 (0.0%)  <std::collections::hash::set::HashSet<T,S> as core::iter::traits::collect::IntoIterator>::into_iter
      26 (0.0%)     2 (0.0%)  <usize as core::slice::index::SliceIndex<[T]>>::get
      26 (0.0%)     1 (0.0%)  <[u8] as ahash::convert::ReadFromSlice>::read_last_u32
      26 (0.0%)     1 (0.0%)  <[u8] as ahash::convert::ReadFromSlice>::read_last_u64
      26 (0.0%)     1 (0.0%)  <core::iter::adapters::step_by::StepBy<I> as core::iter::traits::iterator::Iterator>::next
      26 (0.0%)     1 (0.0%)  <core::option::Option<T> as chumsky::chain::Chain<T>>::append_to
      26 (0.0%)     1 (0.0%)  core::char::methods::<impl char>::is_ascii_alphanumeric
      26 (0.0%)     1 (0.0%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
      26 (0.0%)     1 (0.0%)  core::hash::sip::Hasher<S>::new_with_keys
      26 (0.0%)     1 (0.0%)  core::iter::adapters::flatten::FlattenCompat<I,U>::new
      26 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn chumsky::Parser<lang_frontend::tokenizer::Token,(lang_frontend::ast::Ast,core::ops::range::Range<usize>,core::option::Option<lang_frontend::inferer::Type>)>+Error = chumsky::error::Simple<lang_frontend::tokenizer::Token>>>
      26 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::any::Any+core::marker::Send>>
      26 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
      26 (0.0%)     1 (0.0%)  core::ptr::drop_in_place<std::thread::Builder::spawn_unchecked<lang_frontend::parse_file::{{closure}},(core::option::Option<alloc::vec::Vec<(lang_frontend::tokenizer::Token,core::ops::range::Range<usize>)>>,core::option::Option<(alloc::vec::Vec<(lang_frontend::ast::Ast,core::ops::range::Range<usize>,core::option::Option<lang_frontend::inferer::Type>)>,alloc::vec::Vec<lang_frontend::inferer::Type>)>,alloc::vec::Vec<chumsky::error::Simple<alloc::string::String>>)>::{{closure}}>
